,open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,bbhj,bbl
7016,246.24,246.76,245.28,246.27,246.950672,245.89600000000004,244.53850000000043,242.95530000000045,240.45724999999976,232.8917749999999,7800,66.46669863,0.025106057696678095,0.050860989919970116,0.012632445
7017,246.29,246.43,245.25,245.42,246.85043167999999,246.00500000000005,244.64550000000045,243.03150000000045,240.54544999999976,233.02862499999992,10691,58.125673894064725,0.024817704954064393,0.050860989919970116,0.012632445
7018,245.44,246.18,245.44,246.18,246.76,246.1810000000001,244.79050000000043,243.1465000000005,240.64124999999976,233.16742499999992,6400,62.64007966358413,0.024821729,0.050860989919970116,0.012632445
7019,246,246.3,246,246.21,246.6392,246.1650000000001,244.96750000000043,243.2665000000005,240.73514999999975,233.30992499999994,2642,62.810517199117996,0.023953974,0.050350191,0.012632445
7020,246.19,246.31,245.83,245.91,246.528064,246.0980000000001,245.1495000000004,243.36700000000047,240.81754999999976,233.4545749999999,6037,59.86916397698993,0.021888030483379436,0.050350191,0.012632445
7021,245.87,246.41,245.87,246.32,246.4258189,246.08400000000012,245.34200000000038,243.4702000000005,240.90504999999976,233.5989249999999,6648,62.456745351198975,0.019780554168991264,0.048548525685253044,0.012632445
7022,246.27,246.61,246.26,246.48,245.25,246.0700000000001,245.5145000000004,243.5688000000005,240.99944999999977,233.74222499999988,13416,63.44725034722751,0.018140196093143067,0.045713302,0.012632445
7023,245.67,245.67,244.06,244.3,246.61,245.91000000000014,245.57350000000042,243.63100000000048,241.07614999999979,233.8724249999999,15735,45.74026517464125,0.016477011,0.042070136,0.012632445
7024,244.28,245.33,244.14,245.04,246.61,245.79300000000012,245.6630000000004,243.70820000000046,241.15584999999976,234.0044249999999,4342,50.76345192950481,0.014190813309065686,0.037608623,0.012632445
7025,245.07,245.47,244.74,245.17,246.55900000000003,245.7300000000001,245.71750000000037,243.78380000000044,241.24594999999977,234.13907499999988,3900,51.61096218157693,0.013058329814033178,0.033631664,0.012632445
7026,245.14,245.14,244.71,244.88,246.50902000000002,245.59100000000007,245.7435000000004,243.85560000000044,241.3259499999998,234.27337499999987,3753,49.56149444725729,0.012457302146670164,0.029099942874932474,0.012457302146670164
7027,244.81,245.06,244.38,244.52,246.46003960000002,245.50100000000012,245.75300000000044,243.92380000000045,241.4068499999998,234.4022249999999,3301,47.06305716985245,0.012186538085396648,0.029099942874932474,0.012186538085396648
7028,244.57,244.71,244.4,244.66,246.4120388,245.3490000000001,245.7650000000004,243.98500000000047,241.4927499999998,234.5286249999999,7455,48.15756696201022,0.011863697995535214,0.029099942874932474,0.011863697995535214
7029,244.63,244.94,244.44,244.94,246.364998,245.22200000000012,245.6935000000004,244.05380000000048,241.5598499999998,234.65682499999988,8528,50.36780454869646,0.011985138,0.029099942874932474,0.011863697995535214
7030,245.36,246.64,245.09,245.11,244.06,245.14200000000014,245.6200000000004,244.11160000000046,241.6366499999998,234.78642499999987,11563,51.71382591547025,0.011678629,0.029099942874932474,0.011678629
7031,245.085,246.13,245.02,245.81,244.1116,245.09100000000012,245.5875000000004,244.17620000000045,241.72474999999977,234.92122499999988,9425,56.89736194020162,0.011281221662528608,0.029099942874932474,0.011281221662528608
7032,245.78,246.2,245.75,245.78,244.162168,245.02100000000013,245.5455000000004,244.22860000000048,241.80134999999981,235.05487499999984,5400,56.61684641735178,0.010638983,0.029099942874932474,0.010638983
7033,245.77,245.77,244.94,245.39,244.2117246,245.13000000000017,245.52000000000038,244.2708000000005,241.87444999999977,235.18787499999988,5800,52.961306789244965,0.010568442,0.029099942874932474,0.010568442
7034,245.44,245.8,244.71,244.77,244.2602901,245.10300000000015,245.44800000000038,244.29560000000046,241.94164999999975,235.31747499999986,8506,47.68970908732938,0.010560684,0.029099942874932474,0.010560684
7035,244.83,245.41,244.77,245.3,244.3078843,245.11600000000016,245.4230000000004,244.33020000000047,242.01074999999975,235.45082499999987,12238,52.08070331503672,0.010489518293991603,0.029099942874932474,0.010489518293991603
7036,245.28,245.65,245.25,245.64,244.35452665737088,245.19200000000018,245.3915000000004,244.37840000000048,242.07594999999975,235.58047499999986,19722,54.70729017147643,0.010044361787068289,0.029099942874932474,0.010044361787068289
7037,243.74,244.18,241.78,241.87,246.64,244.92700000000013,245.2140000000004,244.33240000000046,242.10074999999975,235.69912499999987,26519,33.06518796021679,0.016050855,0.029099942874932474,0.010044361787068289
7038,241.83,243.15,241.66,243.04,246.5428,244.76500000000019,245.0570000000004,244.34240000000045,242.13594999999975,235.8210999999999,17945,40.881578731518466,0.017375938448875538,0.029099942874932474,0.010044361787068289
7039,242.96,242.96,241.98,242.17,246.347488,244.48800000000014,244.8550000000004,244.33660000000043,242.16834999999978,235.9348999999999,11841,37.38554212030271,0.019621638,0.029099942874932474,0.010044361787068289
